objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
96,20HH146,STREET_FEA 2239,572 (STREET_FEA 2239),IS,,2008740063,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3709; METERED_FL=U; PLACEMENT=MIGRATED,20HH146,,,MU,MUCENT,2002,,,,1,,1177632000000,mulline,1231804800000,{B90CFB4C-2EF6-5C77-9792-1B8F3CBE30AA},-71.096401691999972,42.337238735000028
101,19HH74,STREET_FEA 3355,55 (STREET_FEA 3355),IS,,1908740068,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2162; METERED_FL=U; PLACEMENT=MIGRATED,19HH74,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231459200000,{0575C24A-FB91-5840-AAB8-13D6EC0D066C},-71.101816929999984,42.330973685000060
119,19HH80,STREET_FEA 3355,37 (STREET_FEA 3355),IS,1285545600000,1908740042,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1307; METERED_FL=U; PLACEMENT=MIGRATED,19HH80,,,KE,KEK81-A,2010,,,,1,,1177632000000,BlundoNR,1301443200000,{56E5C118-76CE-5BD6-B6DF-064F34B6E572},-71.101352601999963,42.331645320000064
147,19GH14,STREET_FEA 2298,30 (STREET_FEA 2298),IS,,1907740061,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2241; METERED_FL=U; PLACEMENT=MIGRATED,19GH14,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{128DAB0B-6F6F-5324-B3C2-5066975C026F},-71.112491541999987,42.330822124000065
303,19GH32,STREET_FEA 2241,832 (STREET_FEA 2241),IS,,1907740002,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3226; METERED_FL=U; PLACEMENT=MIGRATED,19GH32,,,WA,KEK81,2011,,,,1,,1177632000000,blundonr,1244505600000,{6F7C817D-F984-599C-9D8F-9CCCFDA23B90},-71.109363116999987,42.333116930000074
369,20HH178,STREET_FEA 2239,620 (STREET_FEA 2239),IS,,2008740100,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3740; METERED_FL=U; PLACEMENT=MIGRATED,20HH178,,,MH,MH129,1979,,,,1,,1177632000000,mulline,1231804800000,{6866EA38-94BA-561F-9282-B2059AAD585B},-71.098624707999988,42.336342750000028
480,18HH64,STREET_FEA 4449,12 (STREET_FEA 4449),IS,,1808740035,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3039; METERED_FL=U; PLACEMENT=MIGRATED,18HH64,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1231718400000,{0A14F752-8D85-5410-93A2-F8B2295308DE},-71.100958078999952,42.326766895000048
483,20HH126,STREET_FEA 4371,STREET_FEA 4371,IS,662688000000,2008740126,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4279; METERED_FL=U; PLACEMENT=MIGRATED,20HH126,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{DD95BDB1-8FB9-5B59-9E2A-79D485184062},-71.097907275999944,42.335628506000035
598,19HH20,STREET_FEA 783,226 (STREET_FEA 783),IS,,1908740162,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3226; METERED_FL=U; PLACEMENT=MIGRATED,19HH20,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1231459200000,{77FC2885-1A05-5780-9BC1-EBD144E3EBD3},-71.100358055999948,42.328531530000078
628,20HH116,STREET_FEA 3225,STREET_FEA 3225,IS,662688000000,2008740193,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4371; METERED_FL=U; PLACEMENT=MIGRATED,20HH116,,,US,USSEN,1986,,,,1,,1177632000000,mulline,1231891200000,{543DAACF-C850-5DF8-B9B1-7AEB79CF1C45},-71.095010262999949,42.334681161000049
715,20HH106,STREET_FEA 2871,STREET_FEA 2871,IS,,2008740272,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4000; METERED_FL=U; PLACEMENT=MIGRATED,20HH106,,,US,USMET250,1991,,,,1,,1177632000000,blundonr,1244505600000,{493512A6-6E1C-57BB-9AC4-D5D539899299},-71.094007320999935,42.333113547000039
